Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T17:38:07.635118,10,Hybrid,3,0.8344999999999998,0.46103437061380986,0.8344999999999998,0.5563333333333332,0.36000000000000004,"[0.5323333333333333, 0.0, 0.013964284291148812, 0.05, 0.03333333333333333, 0.844091578878521, 0.30539282115103705, 0.042983578606256956]"
2026-07-19T17:38:07.838692,11,Hybrid,3,0.8344999999999998,0.5260546435522415,0.8344999999999998,0.5563333333333332,0.36000000000000004,"[0.5691666666666668, 0.0, 0.007989528023830062, 0.025, 0.05, 0.8225096832562334, 0.34348306208882695, 0.07003120715886521]"
2026-07-19T17:38:08.044517,12,Hybrid,3,0.8344999999999998,0.4970695970695971,0.8344999999999998,0.5563333333333332,0.36000000000000004,"[0.4843333333333333, 0.0, 0.03616216108743629, 0.05, 0.06666666666666667, 0.8243288828349931, 0.33434979393076525, 0.07884026705311697]"
2026-07-19T17:38:08.260659,13,Hybrid,3,0.8363340889623165,0.48943788341804256,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.529, 0.0, 0.010079188529651156, 0.025, 0.03333333333333333, 0.8247695781933153, 0.32002377203125726, 0.08656811325655048]"
2026-07-19T17:38:08.462761,14,Hybrid,3,0.8363340889623165,0.4873685656765048,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.536, 0.0, 0.020035677879714577, 0.05, 0.016666666666666666, 0.819992295623632, 0.27745183244397087, 0.08837903045680348]"
2026-07-19T17:38:08.672148,15,Hybrid,3,0.8363340889623165,0.509751267178127,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.48683333333333323, 0.0, 0.008775076669074972, 0.05, 0.03333333333333333, 0.8266272056305659, 0.3341659937607887, 0.07387133596115354]"
2026-07-19T17:38:08.884958,16,Hybrid,3,0.8363340889623165,0.5141519239925769,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.3861666666666667, 0.0, 0.05013769763550273, 0.025, 0.03333333333333333, 0.8800741505228282, 0.3112573089475704, 0.03386045178554815]"
2026-07-19T17:38:09.092848,17,Hybrid,3,0.8363340889623165,0.4979126984126984,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.5348333333333335, 0.0, 0.023854730688647546, 0.125, 0.0, 0.8357600383279429, 0.32099858032020545, 0.08131401940829155]"
2026-07-19T17:38:09.300684,18,Hybrid,3,0.8363340889623165,0.4910269495926224,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.4496666666666666, 0.0, 0.0063923764677533525, 0.025, 0.0, 0.8464228080107363, 0.3621734170985119, 0.06556718291627855]"
2026-07-19T17:38:09.510254,19,Hybrid,3,0.8363340889623165,0.4865454545454545,0.8363340889623165,0.5575560593082111,0.3416591103768331,"[0.3453333333333334, 0.0, 0.051135790982472895, 0.05, 0.03333333333333333, 0.8779064566762269, 0.3019312268917832, 0.05921987955143436]"
2026-07-19T17:44:59.271603,0,Hybrid,5,0.7522991692481986,0.22145848731214585,0.7522991692481986,0.501532779498799,0.339497303975161,"[0.43983333333333335, 0.0, 0.017280660113890695, 0.025, 0.03333333333333333, 0.8337820902573642, 0.3181124053739839, 0.10410445557272834]"
2026-07-19T17:44:59.616850,1,Hybrid,4,0.799561668173156,0.36922390672390676,0.799561668173156,0.5330411121154374,0.48059077335718,"[0.44749999999999995, 0.0, 0.005088205494963942, 0.025, 0.016666666666666666, 0.8554690867563796, 0.3000657309092132, 0.06555178481173098]"
2026-07-19T17:44:59.931437,2,Hybrid,4,0.799561668173156,0.39320743980938155,0.799561668173156,0.5330411121154374,0.48059077335718,"[0.4616666666666667, 0.0, 0.00982858051239555, 0.075, 0.05, 0.8330670339944255, 0.33055979075258657, 0.08550833430338775]"
2026-07-19T17:45:00.258746,3,Hybrid,3,0.8041636777570299,0.3887405930327624,0.8041636777570299,0.5361091185046866,0.3421734267898255,"[0.4211666666666667, 0.0, 0.01457268714048197, 0.0, 0.03333333333333333, 0.8238697060325606, 0.3274886794890347, 0.10298917133995784]"
2026-07-19T17:45:00.587841,4,Hybrid,3,0.8097733873937979,0.3919356920143703,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.33399999999999996, 0.0, 0.021661815196297958, 0.025, 0.03333333333333333, 0.880253748020978, 0.33781219214104696, 0.07355754898725722]"
2026-07-19T17:45:00.906750,5,Hybrid,3,0.8097733873937979,0.3929345115048763,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.4539999999999999, 0.0, 0.02308661201353122, 0.0, 0.05, 0.8445701948996005, 0.2889806904190738, 0.0625876451243469]"
2026-07-19T17:45:01.239836,6,Hybrid,3,0.8097733873937979,0.3987283459585541,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.358, 0.0, 0.003496503496503497, 0.05, 0.016666666666666666, 0.8486700139752721, 0.35781780288859927, 0.06302198004035728]"
2026-07-19T17:45:01.555048,7,Hybrid,3,0.8097733873937979,0.3803349423844261,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.3465, 0.0, 0.018597560975609755, 0.0, 0.03333333333333333, 0.859309493909427, 0.32807929590835905, 0.06964771247975406]"
2026-07-19T17:45:01.876372,8,Hybrid,3,0.8097733873937979,0.3902678671498487,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.4301666666666667, 0.0, 0.0015625, 0.025, 0.03333333333333333, 0.8540653884183241, 0.2832927785596894, 0.07647956894852484]"
2026-07-19T17:45:02.204541,9,Hybrid,3,0.8097733873937979,0.45276079908763567,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.5195000000000001, 0.0, 0.012199675315521363, 0.075, 0.03333333333333333, 0.7755347186444423, 0.26213447739764784, 0.12311720770285779]"
2026-07-19T17:45:02.523297,10,Hybrid,3,0.8097733873937979,0.44056469845943524,0.8097733873937979,0.5398489249291986,0.32328289282522993,"[0.5323333333333333, 0.0, 0.013964284291148812, 0.05, 0.03333333333333333, 0.844091578878521, 0.30539282115103705, 0.042983578606256956]"
2026-07-19T17:45:02.867326,11,Hybrid,3,0.830234386794809,0.4349302727098916,0.830234386794809,0.5534895911965393,0.37714977552453327,"[0.5691666666666668, 0.0, 0.007989528023830062, 0.025, 0.05, 0.8225096832562334, 0.34348306208882695, 0.07003120715886521]"
2026-07-19T17:45:03.211915,12,Hybrid,3,0.8302647273143228,0.43771148537452886,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.4843333333333333, 0.0, 0.03616216108743629, 0.05, 0.06666666666666667, 0.8243288828349931, 0.33434979393076525, 0.07884026705311697]"
2026-07-19T17:45:03.541866,13,Hybrid,3,0.8302647273143228,0.4435288394283824,0.8302647273143228,0.5535098182095485,0.4023527268567703,"[0.529, 0.0, 0.010079188529651156, 0.025, 0.03333333333333333, 0.8247695781933153, 0.32002377203125726, 0.08656811325655048]"
