Timestamp,Chunk_ID,Strategy,Budget,Fitness,Macro_F1,Utility,Confidence,Cost,FACI_Vector
2026-07-19T19:01:37.599939,10,Hybrid,3,0.8322826138723832,0.3276097949799426,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.5210000000000001, 0.0, 0.025978150539045942, 0.075, 0.03333333333333333, 0.8494948190719798, 0.3725613294811666, 0.04568692735601265]",0.9
2026-07-19T19:01:42.616964,11,Hybrid,3,0.8322826138723832,0.4013909857283351,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4531666666666667, 0.0, 0.05185794076902932, 0.025, 0.03333333333333333, 0.8313291847889804, 0.29318748136752326, 0.09410314452073845]",0.85
2026-07-19T19:01:48.186135,12,Hybrid,3,0.8322826138723832,0.4412500593124567,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.3983333333333333, 0.0, 0.0, 0.075, 0.05, 0.8210426179403981, 0.3492434425536421, 0.11551991319974561]",0.85
2026-07-19T19:01:57.286928,13,Hybrid,3,0.8322826138723832,0.47521641983764307,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.3443333333333333, 0.0, 0.016052371984575375, 0.05, 0.03333333333333333, 0.8660144678318098, 0.3353153457319518, 0.06761429754317058]",0.85
2026-07-19T19:02:06.015834,14,Hybrid,3,0.8322826138723832,0.4621050269118664,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4168333333333333, 0.0, 0.02442228755985828, 0.025, 0.0, 0.8472340268209925, 0.38212184292543167, 0.0798398816236496]",0.85
2026-07-19T19:02:10.771733,15,Hybrid,3,0.8322826138723832,0.49645930813372685,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4651666666666666, 0.0, 0.020404356942361052, 0.075, 0.03333333333333333, 0.8566818514177135, 0.27245617068549877, 0.03966942431891767]",0.85
2026-07-19T19:02:16.079369,16,Hybrid,3,0.8322826138723832,0.5287879820138983,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.33766666666666667, 0.0, 0.024401310897225435, 0.025, 0.016666666666666666, 0.8758717330252109, 0.3497208400190729, 0.052251575625681945]",0.85
2026-07-19T19:02:21.590572,17,Hybrid,3,0.8322826138723832,0.47727635648558653,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4688333333333333, 0.0, 0.0193903960810372, 0.0, 0.06666666666666667, 0.8520717455451416, 0.3502570000857288, 0.04137304174630819]",0.85
2026-07-19T19:02:26.476916,18,Hybrid,3,0.8322826138723832,0.49695803014951956,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.24983333333333335, 0.0, 0.006866738048949242, 0.025, 0.016666666666666666, 0.9048102066490952, 0.37531597324611676, 0.02736737687563202]",0.8
2026-07-19T19:02:31.150799,19,Hybrid,3,0.8322826138723832,0.4945639333762345,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.48650000000000004, 0.0, 0.012028805217156593, 0.025, 0.06666666666666667, 0.8173048267433882, 0.3489945422047986, 0.098604332757747]",0.85
2026-07-19T19:16:28.896930,0,Hybrid,3,0.8322826138723832,0.13635430038510912,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.38150000000000006, 0.0, 0.013096939814819459, 0.025, 0.0, 0.8144138851471965, 0.2856505748953569, 0.12855753405282372]",0.85
2026-07-19T19:16:40.583997,1,Hybrid,3,0.8322826138723832,0.17652987690392036,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4261666666666667, 0.0, 0.013913500500940248, 0.075, 0.016666666666666666, 0.840302859595649, 0.3637638135687823, 0.0865645878646235]",0.85
2026-07-19T19:16:52.705209,2,Hybrid,3,0.8322826138723832,0.1766378684535918,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4411666666666666, 0.0, 0.0008928571428571428, 0.025, 0.06666666666666667, 0.8556394859018905, 0.35750484027870494, 0.06672610159273934]",0.85
2026-07-19T19:16:59.147417,3,Hybrid,3,0.8322826138723832,0.1386351119735237,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.4136666666666667, 0.0, 0.0073222395420671285, 0.05, 0.03333333333333333, 0.8833845737500845, 0.4448230673781115, 0.03756524117478593]",0.85
2026-07-19T19:17:04.642227,4,Hybrid,3,0.8322826138723832,0.2616758241758242,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.6188333333333333, 0.0, 0.009304257322912266, 0.05, 0.03333333333333333, 0.7912453215955793, 0.3546227546747641, 0.12034181525902002]",0.9
2026-07-19T19:17:11.970306,5,Hybrid,3,0.8322826138723832,0.3072548771940253,0.8322826138723832,0.5548550759149221,0.3821738612761664,"[0.42466666666666664, 0.0, 0.028489054000129143, 0.025, 0.016666666666666666, 0.8527760609577892, 0.387347004460332, 0.058029120867404915]",0.85
